Profissão,Contagem
doutor,31
presidente,28
capitão,14
artista,13
professor,13
cantor,12
caçador,12
delegado,11
locutor,11
soldado,11
pescador,10
carpinteiro,7
músico,7
garçom,5
prefeito,5
chefe,4
ator,4
compositor,4
pedreiro,3
deputados,3
ministro,3
advogado,3
vigia,3
governador,3
produtor,3
escritor,3
despachante,2
cientista,2
estudante,2
professores,2
tenente,2
sargento,2
prostituto,2
vendedor,2
arquiteto,2
motorista,2
fiscal,2
ministros,1
vereadores,1
senadores,1
historiador,1
governadores,1
major,1
psicanalista,1
caçadores,1
deputado,1
governantes,1
vendedores,1
contador,1
artesão,1
marceneiro,1
modelo,1
juíz,1
soldados,1
juízes,1
policial,1
artistas,1
vereador,1
defensor,1
diretor,1
pintor,1
cientistas,1
farmacêutico,1
bailarino,1
médico,1
gerente,1
compositores,1
empregado,1
piloto,1
estilista,1
